RouteId,Sequence,FromPort,ToPort,SailingDistanceNm
S1,1,Shanghai,Shenzhen,664
S1,2,Shenzhen,Singapore,1417
S1,3,Singapore,Colombo,1476
S1,4,Colombo,Piraeus,4500
S1,5,Piraeus,Tanger Med,1398
S1,6,Tanger Med,Rotterdam,1048
S1,7,Rotterdam,Hamburg,233
S1,8,Hamburg,Rotterdam,233
S1,9,Rotterdam,Tanger Med,1048
S1,10,Tanger Med,Piraeus,1398
S1,11,Piraeus,Colombo,4500
S1,12,Colombo,Singapore,1476
S1,13,Singapore,Shanghai,2075
S2,1,Tianjin,Qingdao,213
S2,2,Qingdao,Shanghai,294
S2,3,Shanghai,Xiamen,459
S2,4,Xiamen,Shenzhen,238
S2,5,Shenzhen,Kaohsiung,334
S2,6,Kaohsiung,Busan,879
S2,7,Busan,Tianjin,590
S3,1,Singapore,Ho Chi Minh City,596
S3,2,Ho Chi Minh City,Laem Chabang,369
S3,3,Laem Chabang,Singapore,731
S4,1,Shanghai,Kaohsiung,531
S4,2,Kaohsiung,Los Angeles,6100
S4,3,Los Angeles,Shanghai,5700
S5,1,Shanghai,Shenzhen,664
S5,2,Shenzhen,Singapore,1417
S5,3,Singapore,Colombo,1476
S5,4,Colombo,New Jersey,9000
S5,5,New Jersey,Colombo,9000
S5,6,Colombo,Singapore,1476
S5,7,Singapore,Shanghai,2075
S6,1,Hamburg,Rotterdam,233
S6,2,Rotterdam,Tanger Med,1048
S6,3,Tanger Med,New Jersey,3161
S6,4,New Jersey,Cartagena,1819
S6,5,Cartagena,New Jersey,1819
S6,6,New Jersey,Tanger Med,3161
S6,7,Tanger Med,Rotterdam,1048
S6,8,Rotterdam,Hamburg,233
S7,1,Singapore,Colombo,1476
S7,2,Colombo,Jebel Ali,1788
S7,3,Jebel Ali,Piraeus,3500
S7,4,Piraeus,Jebel Ali,3500
S7,5,Jebel Ali,Colombo,1788
S7,6,Colombo,Singapore,1476
S8,1,Singapore,Jakarta,479
S8,2,Jakarta,Singapore,479
S9,1,Tianjin,Qingdao,213
S9,2,Qingdao,Busan,429
S9,3,Busan,Los Angeles,5300
S9,4,Los Angeles,Busan,5300
S9,5,Busan,Tianjin,590
