PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.43
2,6,10,13.39
3,11,15,13.48
4,16,20,13.45
5,21,25,13.40
6,26,30,13.40
7,31,35,13.22
8,36,40,13.54
9,41,45,13.26
10,46,50,13.46
11,51,55,12.79
12,56,60,13.12
13,61,65,13.41
14,66,70,13.50
15,71,75,13.17
16,76,80,13.36
17,81,85,13.42
18,86,90,13.26
19,91,95,14.09
20,96,100,14.07
21,101,105,12.96
22,106,110,13.62
23,111,115,13.66
24,116,120,13.70
25,121,125,13.49
26,126,130,13.53
27,131,135,14.01
28,136,140,13.78
29,141,145,14.55
30,146,150,14.41
31,151,155,14.14
32,156,160,14.11
33,161,165,14.24
34,166,170,14.84
35,171,175,14.46
36,176,180,14.45
37,181,185,13.86
38,186,190,14.46
39,191,195,14.44
40,196,200,13.86
41,201,205,14.13
42,206,210,13.72
43,211,215,14.03
44,216,220,13.90
45,221,225,13.99
46,226,230,14.09
47,231,235,14.17
48,236,240,14.39
49,241,245,14.94
50,246,250,14.10
51,251,255,14.07
52,256,260,14.11
53,261,265,14.35
54,266,270,14.74
55,271,275,15.26
56,276,280,15.87
57,281,285,16.41
58,286,290,16.00
59,291,295,17.11
60,296,300,18.31
61,301,305,18.87
62,306,310,19.11
63,311,315,17.06
64,316,320,15.14
65,321,325,14.05
66,326,330,14.70
67,331,335,14.85
68,336,340,15.60
69,341,345,15.48
70,346,350,15.61
71,351,355,16.17
72,356,360,15.68
,,OverallMean,14.43
,,PeriodStdDev,1.31
