PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.1333
2,6,10,13.4693
3,11,15,13.4409
4,16,20,13.3778
5,21,25,12.9634
6,26,30,13.1904
7,31,35,13.2904
8,36,40,13.037
9,41,45,13.0586
10,46,50,13.4181
11,51,55,12.9818
12,56,60,13.0902
13,61,65,13.31
14,66,70,13.1725
15,71,75,12.9679
16,76,80,12.8149
17,81,85,13.079
18,86,90,13.4423
19,91,95,13.4387
20,96,100,13.2866
21,101,105,14.197
22,106,110,14.5595
23,111,115,14.9637
24,116,120,15.7409
25,121,125,16.6374
26,126,130,17.7605
27,131,135,18.9529
28,136,140,20.1018
29,141,145,21.4399
30,146,150,22.8353
31,151,155,24.1832
32,156,160,25.7757
33,161,165,27.3421
34,166,170,28.4652
35,171,175,29.7417
36,176,180,28.1897
37,181,185,26.5958
38,186,190,24.1239
39,191,195,22.3854
40,196,200,21.5436
41,201,205,21.9661
42,206,210,15.0277
43,211,215,13.0963
44,216,220,13.4456
45,221,225,13.3403
46,226,230,13.9866
47,231,235,14.2433
48,236,240,14.0502
49,241,245,14.808
50,246,250,14.3825
51,251,255,14.1931
52,256,260,14.6016
53,261,265,14.3068
54,266,270,14.6967
55,271,275,15.177
56,276,280,15.5515
57,281,285,15.607
58,286,290,16.2101
59,291,295,17.0498
60,296,300,18.2163
61,301,305,18.489
62,306,310,18.4291
63,311,315,17.8976
64,316,320,16.2383
65,321,325,16.4584
66,326,330,16.5308
67,331,335,15.883
68,336,340,16.6807
69,341,345,16.7669
70,346,350,16.7939
71,351,355,17.5129
72,356,360,17.4515
