PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.026
2,6,10,13.0497
3,11,15,13.6715
4,16,20,13.7231
5,21,25,13.5518
6,26,30,13.3389
7,31,35,13.2799
8,36,40,13.2898
9,41,45,13.5694
10,46,50,13.4809
11,51,55,13.5709
12,56,60,13.534
13,61,65,13.7632
14,66,70,14.4185
15,71,75,14.284
16,76,80,13.9719
17,81,85,13.8507
18,86,90,13.5516
19,91,95,13.6914
20,96,100,13.9392
21,101,105,14.4471
22,106,110,14.3944
23,111,115,14.5262
24,116,120,15.1372
25,121,125,14.9169
26,126,130,15.8171
27,131,135,16.0123
28,136,140,16.545
29,141,145,17.4262
30,146,150,18.1851
31,151,155,18.5048
32,156,160,19.2017
33,161,165,19.3786
34,166,170,19.286
35,171,175,19.4447
36,176,180,19.9805
37,181,185,19.4293
38,186,190,20.2538
39,191,195,20.5062
40,196,200,15.375
41,201,205,15.4613
42,206,210,14.6439
43,211,215,14.6947
44,216,220,14.9927
45,221,225,15.5048
46,226,230,14.2307
47,231,235,14.8716
48,236,240,14.8281
49,241,245,14.5695
50,246,250,14.5923
51,251,255,14.502
52,256,260,13.7865
53,261,265,14.6261
54,266,270,14.4282
55,271,275,14.8314
56,276,280,15.238
57,281,285,15.3021
58,286,290,15.5915
59,291,295,17.0604
60,296,300,18.0592
61,301,305,18.4173
62,306,310,18.4941
63,311,315,17.0392
64,316,320,16.3228
65,321,325,15.6668
66,326,330,15.3978
67,331,335,14.9863
68,336,340,15.9356
69,341,345,15.9609
70,346,350,15.5065
71,351,355,15.6999
72,356,360,15.7514
