PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.0397
2,6,10,13.0092
3,11,15,13.1874
4,16,20,13.2721
5,21,25,13.57
6,26,30,13.6129
7,31,35,13.2046
8,36,40,13.321
9,41,45,13.4323
10,46,50,13.2765
11,51,55,13.1187
12,56,60,13.5811
13,61,65,13.5514
14,66,70,13.6145
15,71,75,14.2261
16,76,80,13.9894
17,81,85,13.6768
18,86,90,13.446
19,91,95,13.1789
20,96,100,13.8523
21,101,105,14.4726
22,106,110,14.6547
23,111,115,14.6897
24,116,120,14.9097
25,121,125,15.1844
26,126,130,15.8796
27,131,135,16.4598
28,136,140,16.6995
29,141,145,17.2154
30,146,150,17.8763
31,151,155,18.998
32,156,160,19.7229
33,161,165,19.6246
34,166,170,19.7994
35,171,175,19.1296
36,176,180,19.7995
37,181,185,19.3559
38,186,190,19.9987
39,191,195,20.8355
40,196,200,17.2195
41,201,205,15.136
42,206,210,15.2876
43,211,215,14.867
44,216,220,14.5243
45,221,225,15.214
46,226,230,14.6115
47,231,235,14.8206
48,236,240,14.9276
49,241,245,14.8318
50,246,250,15.6235
51,251,255,15.2907
52,256,260,14.8268
53,261,265,14.4676
54,266,270,14.7075
55,271,275,15.5394
56,276,280,15.7525
57,281,285,16.7253
58,286,290,16.4538
59,291,295,17.686
60,296,300,18.2105
61,301,305,19.0694
62,306,310,19.7732
63,311,315,18.8673
64,316,320,18.5037
65,321,325,16.6105
66,326,330,17.1833
67,331,335,16.7772
68,336,340,17.8844
69,341,345,17.3642
70,346,350,17.1191
71,351,355,17.5493
72,356,360,17.0163
