PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.6512
2,6,10,13.0036
3,11,15,13.1005
4,16,20,13.2212
5,21,25,12.9682
6,26,30,13.3426
7,31,35,12.9899
8,36,40,13.1522
9,41,45,13.2367
10,46,50,13.5325
11,51,55,12.9462
12,56,60,13.1386
13,61,65,13.2022
14,66,70,13.4017
15,71,75,13.205
16,76,80,13.3777
17,81,85,13.733
18,86,90,13.4861
19,91,95,13.8956
20,96,100,14.1066
21,101,105,13.8587
22,106,110,14.8676
23,111,115,14.7305
24,116,120,15.6821
25,121,125,16.2241
26,126,130,17.244
27,131,135,18.4445
28,136,140,19.5425
29,141,145,21.2424
30,146,150,22.5159
31,151,155,23.5096
32,156,160,25.0803
33,161,165,26.3063
34,166,170,27.5612
35,171,175,26.8212
36,176,180,26.2189
37,181,185,22.9917
38,186,190,22.1658
39,191,195,22.9938
40,196,200,17.1972
41,201,205,15.6411
42,206,210,14.7212
43,211,215,14.3633
44,216,220,13.9811
45,221,225,14.2759
46,226,230,13.6923
47,231,235,13.9622
48,236,240,14.7553
49,241,245,14.4941
50,246,250,13.769
51,251,255,13.3247
52,256,260,13.8932
53,261,265,14.6947
54,266,270,14.306
55,271,275,14.9838
56,276,280,15.7836
57,281,285,15.746
58,286,290,16.1596
59,291,295,16.9004
60,296,300,17.6544
61,301,305,17.7332
62,306,310,18.1268
63,311,315,18.0339
64,316,320,15.7236
65,321,325,15.174
66,326,330,15.7211
67,331,335,14.7665
68,336,340,15.3632
69,341,345,15.0076
70,346,350,14.8044
71,351,355,15.3403
72,356,360,15.6187
