PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.0655
2,6,10,13.0182
3,11,15,12.9841
4,16,20,13.3297
5,21,25,13.2126
6,26,30,13.142
7,31,35,13.2297
8,36,40,13.2929
9,41,45,13.1727
10,46,50,13.0861
11,51,55,12.9442
12,56,60,13.3241
13,61,65,13.8688
14,66,70,13.6589
15,71,75,13.8294
16,76,80,13.4119
17,81,85,13.2719
18,86,90,13.585
19,91,95,13.6212
20,96,100,14.025
21,101,105,14.2162
22,106,110,14.9249
23,111,115,14.9713
24,116,120,14.8474
25,121,125,15.0163
26,126,130,15.8403
27,131,135,16.4578
28,136,140,17.3492
29,141,145,18.3169
30,146,150,18.9615
31,151,155,19.8336
32,156,160,21.1272
33,161,165,21.3232
34,166,170,21.7823
35,171,175,20.8912
36,176,180,21.7457
37,181,185,21.198
38,186,190,21.9439
39,191,195,22.1054
40,196,200,15.5225
41,201,205,16.4537
42,206,210,14.8384
43,211,215,13.3939
44,216,220,13.7581
45,221,225,14.0495
46,226,230,13.7307
47,231,235,14.3573
48,236,240,13.9948
49,241,245,13.7209
50,246,250,14.3871
51,251,255,14.2221
52,256,260,14.4409
53,261,265,13.3739
54,266,270,13.7957
55,271,275,14.7032
56,276,280,15.5147
57,281,285,16.0214
58,286,290,16.464
59,291,295,16.8204
60,296,300,17.2401
61,301,305,17.6178
62,306,310,17.5468
63,311,315,17.8068
64,316,320,16.2796
65,321,325,15.0169
66,326,330,15.5937
67,331,335,16.1873
68,336,340,17.5208
69,341,345,18.024
70,346,350,17.2527
71,351,355,17.0465
72,356,360,17.3657
