PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.4326
2,6,10,13.3944
3,11,15,13.479
4,16,20,13.4473
5,21,25,13.393
6,26,30,13.3832
7,31,35,13.1967
8,36,40,13.4909
9,41,45,13.1497
10,46,50,13.3555
11,51,55,12.8293
12,56,60,12.922
13,61,65,13.2511
14,66,70,13.1338
15,71,75,12.9885
16,76,80,13.1578
17,81,85,13.3754
18,86,90,13.152
19,91,95,13.6041
20,96,100,13.3749
21,101,105,12.7405
22,106,110,13.1996
23,111,115,13.2056
24,116,120,13.56
25,121,125,13.3518
26,126,130,13.531
27,131,135,13.7768
28,136,140,13.3693
29,141,145,14.0614
30,146,150,13.6692
31,151,155,13.4694
32,156,160,13.7237
33,161,165,13.6917
34,166,170,13.2321
35,171,175,14.0941
36,176,180,14.6707
37,181,185,13.3875
38,186,190,14.2259
39,191,195,13.5208
40,196,200,13.2969
41,201,205,13.8745
42,206,210,13.5827
43,211,215,13.4417
44,216,220,13.9224
45,221,225,14.2308
46,226,230,14.3847
47,231,235,13.9017
48,236,240,14.6922
49,241,245,14.4216
50,246,250,14.1461
51,251,255,14.2011
52,256,260,13.9367
53,261,265,13.8098
54,266,270,13.8463
55,271,275,14.1535
56,276,280,13.324
57,281,285,14.1165
58,286,290,14.4031
59,291,295,14.216
60,296,300,14.4956
61,301,305,14.2798
62,306,310,14.6842
63,311,315,14.4724
64,316,320,14.2388
65,321,325,13.951
66,326,330,13.6748
67,331,335,14.1522
68,336,340,14.364
69,341,345,14.7549
70,346,350,14.5785
71,351,355,14.4972
72,356,360,14.3074
