PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.4326
2,6,10,13.3944
3,11,15,13.479
4,16,20,13.4473
5,21,25,13.393
6,26,30,13.3832
7,31,35,13.1967
8,36,40,13.4923
9,41,45,13.1536
10,46,50,13.3551
11,51,55,12.8221
12,56,60,13.0565
13,61,65,13.328
14,66,70,13.5546
15,71,75,13.0539
16,76,80,13.2968
17,81,85,13.5633
18,86,90,13.247
19,91,95,14.2972
20,96,100,14.829
21,101,105,13.9227
22,106,110,13.9989
23,111,115,14.3756
24,116,120,14.8747
25,121,125,15.2586
26,126,130,15.9397
27,131,135,16.6854
28,136,140,17.2809
29,141,145,18.255
30,146,150,19.1348
31,151,155,19.605
32,156,160,20.7069
33,161,165,20.9929
34,166,170,20.8379
35,171,175,21.0576
36,176,180,21.745
37,181,185,21.3138
38,186,190,21.5741
39,191,195,22.0858
40,196,200,15.5774
41,201,205,13.7396
42,206,210,13.6448
43,211,215,13.9437
44,216,220,14.1263
45,221,225,14.6973
46,226,230,14.6975
47,231,235,14.2909
48,236,240,14.9431
49,241,245,14.3437
50,246,250,14.4319
51,251,255,14.249
52,256,260,13.7546
53,261,265,13.9767
54,266,270,13.9316
55,271,275,14.9818
56,276,280,15.7304
57,281,285,15.6496
58,286,290,15.6971
59,291,295,15.1767
60,296,300,15.155
61,301,305,14.9714
62,306,310,15.1918
63,311,315,15.1822
64,316,320,14.7045
65,321,325,14.2465
66,326,330,14.3456
67,331,335,14.0864
68,336,340,14.5434
69,341,345,14.8448
70,346,350,14.3474
71,351,355,14.5348
72,356,360,14.3462
