PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.4326
2,6,10,13.3944
3,11,15,13.479
4,16,20,13.4473
5,21,25,13.393
6,26,30,13.3832
7,31,35,13.1967
8,36,40,13.4923
9,41,45,13.1536
10,46,50,13.3551
11,51,55,12.8222
12,56,60,13.0565
13,61,65,13.328
14,66,70,13.555
15,71,75,13.0539
16,76,80,13.2624
17,81,85,13.521
18,86,90,13.1991
19,91,95,14.2477
20,96,100,14.778
21,101,105,13.8672
22,106,110,13.923
23,111,115,14.3284
24,116,120,14.8191
25,121,125,15.1926
26,126,130,15.7322
27,131,135,16.4501
28,136,140,16.7237
29,141,145,18.0198
30,146,150,18.877
31,151,155,19.1211
32,156,160,20.1484
33,161,165,20.2454
34,166,170,19.8576
35,171,175,19.5883
36,176,180,20.0249
37,181,185,20.3795
38,186,190,21.1002
39,191,195,20.6271
40,196,200,15.0977
