PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.026
2,6,10,13.0497
3,11,15,13.6715
4,16,20,13.7231
5,21,25,13.5518
6,26,30,13.3389
7,31,35,13.2799
8,36,40,13.2898
9,41,45,13.569
10,46,50,13.4785
11,51,55,13.5712
12,56,60,13.6936
13,61,65,13.7346
14,66,70,14.2049
15,71,75,14.1849
16,76,80,13.411
17,81,85,13.0233
18,86,90,13.2576
19,91,95,13.5226
20,96,100,13.3676
21,101,105,13.3176
22,106,110,13.5503
23,111,115,13.4819
24,116,120,13.9549
25,121,125,13.2426
26,126,130,13.654
27,131,135,13.8127
28,136,140,13.8383
29,141,145,14.1867
30,146,150,13.8763
31,151,155,14.0525
32,156,160,13.498
33,161,165,13.9248
34,166,170,14.4487
35,171,175,14.348
36,176,180,14.556
37,181,185,13.6854
38,186,190,14.1615
39,191,195,13.4205
40,196,200,13.9279
41,201,205,13.6806
42,206,210,13.433
43,211,215,13.9247
44,216,220,13.7505
45,221,225,14.1133
46,226,230,13.7142
47,231,235,14.2797
48,236,240,14.0408
49,241,245,13.3885
50,246,250,14.0308
51,251,255,14.1492
52,256,260,13.8093
53,261,265,13.9011
54,266,270,14.1266
55,271,275,14.1728
56,276,280,13.8367
57,281,285,13.9866
58,286,290,13.7405
59,291,295,14.3516
60,296,300,14.3456
61,301,305,13.6891
62,306,310,14.1792
63,311,315,14.5743
64,316,320,15.0834
65,321,325,15.0628
66,326,330,14.6165
67,331,335,14.203
68,336,340,14.1562
69,341,345,14.1373
70,346,350,14.1276
71,351,355,14.1142
72,356,360,14.5345
