PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.4326
2,6,10,13.3944
3,11,15,13.479
4,16,20,13.4473
5,21,25,13.393
6,26,30,13.3832
7,31,35,13.1967
8,36,40,13.4923
9,41,45,13.1536
10,46,50,13.3551
11,51,55,12.8222
12,56,60,13.0565
13,61,65,13.328
14,66,70,13.555
15,71,75,13.0539
16,76,80,13.2624
17,81,85,13.521
18,86,90,13.1991
19,91,95,14.2477
20,96,100,14.778
21,101,105,13.8672
22,106,110,13.923
23,111,115,14.3284
24,116,120,14.8191
25,121,125,15.1926
26,126,130,15.7322
27,131,135,16.4501
28,136,140,16.7237
29,141,145,18.0198
30,146,150,18.877
31,151,155,19.1211
32,156,160,20.1484
33,161,165,20.2454
34,166,170,19.8576
35,171,175,19.5883
36,176,180,20.0249
37,181,185,20.3795
38,186,190,21.1002
39,191,195,20.6271
40,196,200,15.0977
41,201,205,15.6017
42,206,210,14.3616
43,211,215,14.1165
44,216,220,14.3664
45,221,225,14.7507
46,226,230,14.4707
47,231,235,14.4848
48,236,240,15.5116
49,241,245,14.7099
50,246,250,14.5163
51,251,255,14.8899
52,256,260,14.9546
53,261,265,15.2631
54,266,270,15.257
55,271,275,15.7286
56,276,280,16.3367
57,281,285,16.6512
58,286,290,17.213
59,291,295,18.144
60,296,300,18.9116
61,301,305,19.5759
62,306,310,20.009
63,311,315,19.3323
64,316,320,16.7658
65,321,325,15.7204
66,326,330,16.1656
67,331,335,16.1826
68,336,340,16.9125
69,341,345,17.2764
70,346,350,16.5168
71,351,355,17.0807
72,356,360,17.2061
