PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,14.9133
2,6,10,14.3014
3,11,15,14.1307
4,16,20,14.9082
5,21,25,14.464
6,26,30,14.2923
7,31,35,13.9272
8,36,40,14.2008
9,41,45,14.8066
10,46,50,14.7228
11,51,55,14.5093
12,56,60,14.7199
13,61,65,14.7608
14,66,70,15.1422
15,71,75,15.0065
16,76,80,14.9368
17,81,85,15.3352
18,86,90,15.5236
19,91,95,15.8285
20,96,100,16.5369
21,101,105,16.8973
22,106,110,17.3993
23,111,115,18.2956
24,116,120,19.1136
25,121,125,19.9854
26,126,130,20.9741
27,131,135,21.6975
28,136,140,22.6541
29,141,145,23.6644
30,146,150,24.5472
31,151,155,25.4927
32,156,160,26.4742
33,161,165,26.9444
34,166,170,26.7345
35,171,175,27.8569
36,176,180,28.5994
37,181,185,29.7706
38,186,190,30.1244
39,191,195,30.2291
40,196,200,26.2076
41,201,205,26.4575
42,206,210,27.176
43,211,215,28.0665
44,216,220,28.5525
45,221,225,29.1297
46,226,230,29.5741
47,231,235,29.96
48,236,240,30.2403
49,241,245,30.9588
50,246,250,31.3264
51,251,255,31.6186
52,256,260,32.1848
53,261,265,32.9733
54,266,270,33.8694
55,271,275,34.0612
56,276,280,34.9783
57,281,285,35.5679
58,286,290,36.3185
59,291,295,37.2013
60,296,300,39.0951
61,301,305,39.8171
62,306,310,40.4515
63,311,315,41.1264
64,316,320,41.9186
65,321,325,43.4587
66,326,330,43.4909
67,331,335,44.8423
68,336,340,45.6027
69,341,345,46.3709
70,346,350,48.3044
71,351,355,49.0664
72,356,360,49.1161
