Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,31,73,135,12,16,187,117,14,179,198,96,12,173,42,35,70,66,5,17
Cartagena,24,-,41,39,10,13,47,14,10,61,32,43,32,54,81,73,40,32,17,19
Colombo,62,41,-,85,13,14,67,36,16,52,87,45,54,122,82,98,35,58,16,37
Hamburg,59,38,87,-,13,16,162,37,14,68,68,29,58,7,153,161,55,22,25,50
Ho Chi Minh City,15,13,23,34,-,10,48,9,2,49,28,20,18,50,46,48,14,22,8,13
Jakarta,19,18,28,40,6,-,57,11,7,66,40,38,18,62,54,61,6,25,11,14
Jebel Ali,88,30,61,115,17,21,-,55,18,116,79,39,67,172,109,121,58,125,19,56
Kaohsiung,15,21,26,66,10,11,55,-,10,134,72,38,11,73,27,17,28,32,9,8
Laem Chabang,15,14,20,31,2,9,49,9,-,56,28,27,16,45,43,48,10,21,10,12
Los Angeles,88,85,58,68,17,22,107,49,19,-,279,53,79,100,153,130,59,40,32,63
New Jersey,69,42,84,68,11,13,84,49,10,272,-,66,69,77,166,159,46,21,25,53
Piraeus,44,38,43,18,8,8,54,25,7,46,55,-,40,37,93,90,31,20,15,30
Qingdao,5,29,45,74,9,13,97,12,9,183,113,65,-,90,8,8,42,48,8,0
Rotterdam,88,54,127,4,19,25,230,58,21,103,100,26,91,-,216,218,76,28,33,67
Shanghai,40,74,61,217,18,20,152,17,20,249,270,118,51,249,-,14,53,102,31,4
Shenzhen,29,61,55,209,16,18,193,7,19,159,268,121,12,272,34,-,39,81,9,6
Singapore,55,46,28,91,4,8,96,31,7,181,93,54,58,130,68,91,-,61,15,38
Tanger Med,43,30,60,13,12,16,112,23,12,39,21,12,41,14,98,98,47,-,18,31
Tianjin,5,22,36,69,6,9,91,7,8,73,85,45,2,100,10,7,40,35,-,0
Xiamen,21,28,50,111,9,10,131,7,10,88,132,70,7,138,25,12,47,48,1,-
