Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,3,15,15,3,4,27,76,3,49,22,14,20,20,49,25,18,8,12,14
Cartagena,2,-,5,9,1,1,5,1,1,4,25,8,2,13,8,6,4,10,1,2
Colombo,21,17,-,28,9,12,78,12,9,11,50,27,15,41,54,52,45,24,4,16
Hamburg,9,8,27,-,3,4,43,6,3,8,22,25,8,44,32,32,16,40,4,8
Ho Chi Minh City,1,1,4,2,-,3,6,1,3,3,2,2,1,4,7,6,10,2,1,1
Jakarta,1,1,3,2,1,-,5,1,2,2,2,3,1,3,6,5,5,1,1,1
Jebel Ali,16,5,72,30,7,10,-,11,7,16,15,26,11,44,29,30,32,37,3,11
Kaohsiung,27,2,5,7,2,2,7,-,2,47,7,5,10,8,19,9,7,4,8,4
Laem Chabang,1,1,4,2,1,4,6,1,-,3,2,3,1,3,6,6,10,2,1,1
Los Angeles,23,7,9,7,3,4,13,18,3,-,28,6,19,10,53,37,11,4,8,16
New Jersey,21,31,53,22,5,8,10,15,5,71,-,14,22,27,74,65,25,10,9,19
Piraeus,10,12,23,15,3,3,31,6,2,7,23,-,8,36,28,26,13,34,3,7
Qingdao,10,3,10,8,2,3,15,11,2,46,13,10,-,10,28,10,13,6,4,1
Rotterdam,14,13,42,27,5,6,64,10,5,12,33,24,15,-,50,46,21,62,5,13
Shanghai,35,20,39,42,11,14,49,30,11,96,91,34,30,51,-,33,52,22,20,10
Shenzhen,34,18,44,46,12,16,69,22,13,45,99,39,8,63,19,-,58,22,7,3
Singapore,22,15,44,24,5,7,63,15,5,42,46,23,19,37,75,73,-,19,5,19
Tanger Med,8,9,25,24,3,4,35,4,3,5,10,20,7,34,24,22,15,-,3,6
Tianjin,8,2,8,8,2,2,14,6,2,18,10,6,10,11,22,7,11,4,-,0
Xiamen,20,3,13,14,2,3,22,13,3,16,16,11,4,16,12,45,17,6,0,-
