Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,260,"1,441","1,355",221,330,"2,504","6,996",254,"5,574","2,071","1,254","1,900","1,723","4,595","2,417","1,692",700,"1,108","1,341"
Cartagena,193,-,527,"1,039",100,134,539,123,98,413,"2,803",771,253,"1,481",841,732,460,"1,057",140,166
Colombo,"1,345",525,-,"1,783",595,768,"5,389",884,649,649,"1,623","1,637","1,056","2,657","3,529","3,470","2,978","1,450",325,"1,054"
Hamburg,658,948,"1,935",-,198,269,"2,973",440,203,563,"2,483","1,551",611,"2,898","2,238","2,182","1,013","2,483",277,612
Ho Chi Minh City,238,123,723,405,-,658,"1,107",172,545,531,351,322,263,619,"1,220","1,150","1,815",294,127,252
Jakarta,342,177,"1,028",500,445,-,"1,504",219,470,735,520,657,295,816,"1,598","1,538","1,475",349,183,307
Jebel Ali,"1,185",352,"5,209","1,954",506,722,-,820,510,"1,092","1,037","1,698",842,"3,017","2,081","2,123","2,463","2,396",254,868
Kaohsiung,"2,446",156,459,619,165,203,661,-,172,"3,613",698,464,905,687,"1,696",770,578,328,802,394
Laem Chabang,254,133,724,402,223,747,"1,183",177,-,603,365,465,250,574,"1,216","1,177","1,809",286,164,240
Los Angeles,"2,743",568,793,529,229,299,"1,116","1,277",230,-,"2,311",520,"2,123",803,"4,525","2,502",905,328,879,"1,269"
New Jersey,697,"3,579","1,577","2,508",155,179,"1,134",527,134,"2,084",-,"1,442",663,"3,021","2,216","2,025",739,"1,076",252,587
Piraeus,594,785,"1,599",990,183,207,"2,275",381,153,433,"1,452",-,522,"2,288","1,861","1,650",859,"2,078",205,490
Qingdao,"1,144",248,"1,008",803,198,299,"1,408","1,067",193,"5,171","1,241",914,-,986,"2,612",926,"1,187",539,441,45
Rotterdam,993,"1,452","2,937","1,734",305,429,"4,372",708,332,839,"3,906","1,544",975,-,"3,219","3,074","1,425","3,889",359,868
Shanghai,"2,805",721,"2,571","2,887",718,936,"3,191","1,913",742,"5,977","3,548","2,308","2,555","3,495",-,"2,270","3,641","1,496","1,746",982
Shenzhen,"3,215",635,"2,897","3,120",786,"1,080","4,569","2,148",833,"2,922","3,792","2,582",774,"4,183","1,812",-,"3,932","1,339",653,261
Singapore,"1,491",530,"2,850","1,626",896,"2,078","4,541","1,001",959,"2,656","1,496","1,457","1,363","2,393","4,857","4,843",-,"1,225",379,"1,405"
Tanger Med,537,972,"1,676","1,510",221,311,"2,410",307,214,343,"1,099","1,178",480,"2,105","1,664","1,526","1,026",-,205,432
Tianjin,887,187,767,725,133,202,"1,308",563,154,"1,981",908,610,994,"1,103","2,093",640,"1,075",387,-,43
Xiamen,"1,874",253,"1,279","1,261",225,282,"2,093","1,237",253,"1,567","1,558","1,037",448,"1,591","1,173","4,389","1,583",585,43,-
