Route,Name,Avg Capacity TEU,Avg Carried TEU,Utilization
S1,Asia-Europe-NorthEurope,"134,340","7,486",5.57%
S2,Intra-EastAsia,"12,849",977,7.60%
S3,Mekong-Regional-Feeder,"4,873",174,3.57%
S4,Transpacific-South,"42,537","1,177",2.77%
S4-R2-DETOUR,Transpacific-South Round 2 Detour,"13,514",335,2.48%
S5,Asia-US-East,"88,008","2,393",2.72%
S5-R2-DETOUR,Asia-US-East Round 2 Detour,"28,063",625,2.23%
S6,Transatlantic-Caribbean,"38,087","1,100",2.89%
S7,IndianOcean-Gulf-EastMed,"36,939","1,289",3.49%
S7-R2-PIRAEUS-SKIP,IndianOcean-Gulf-EastMed Round 2 Piraeus Skip,"3,598",181,5.03%
S8,Indonesia-Regional-Feeder,"1,535",65,4.23%
S9,Transpacific-North,"57,924",713,1.23%
S9-R2-DETOUR,Transpacific-North Round 2 Detour,"12,438",161,1.29%
TOTAL,,"474,706","16,676",3.51%
